2025-09-02 15:17:28 | ip | 10.16.1.3 | up | 42ms
2025-09-02 15:17:28 | ip | 10.16.8.16 | up | 41ms
2025-09-02 15:17:29 | ip | 10.16.1.7 | up | 49ms
2025-09-02 15:17:33 | ip | 10.16.0.5 | down | ms
2025-09-02 15:17:33 | ip | 10.16.0.127 | up | 55ms
2025-09-02 15:17:38 | ip | 10.16.0.7 | down | ms
2025-09-02 15:17:43 | ip | 172.16.1.1 | down | ms
2025-09-02 15:17:48 | ip | 172.16.1.2 | down | ms
2025-09-02 15:17:49 | ip | 10.16.8.249 | up | 48ms
2025-09-02 15:17:49 | ip | 10.16.8.2 | up | 41ms
2025-09-02 15:17:51 | ip | 10.16.8.5 | up | 2620ms
2025-09-02 15:17:52 | ip | 10.16.8.40 | up | 51ms
2025-09-02 15:17:52 | ip | 10.16.8.4 | up | 50ms
2025-09-02 15:17:54 | ip | 10.16.8.10 | up | 2646ms
2025-09-02 15:17:55 | ip | 10.16.8.7 | up | 50ms
2025-09-02 15:17:57 | ip | 10.16.8.20 | up | 2772ms
2025-09-02 15:17:57 | ip | 10.16.8.25 | up | 44ms
2025-09-02 15:17:58 | ip | 10.16.8.9 | up | 43ms
2025-09-02 15:17:58 | ip | 10.16.8.61 | up | 56ms
2025-09-02 15:17:58 | ip | 10.16.8.6 | up | 40ms
2025-09-02 15:17:58 | ip | 10.16.8.11 | up | 44ms
2025-09-02 15:18:01 | ip | 10.16.8.254 | up | 2815ms
2025-09-02 15:18:01 | ip | 10.16.1.8 | up | 40ms
2025-09-02 15:18:06 | ip | 189.202.180.34 | down | ms
2025-09-02 15:18:11 | ip | 189.202.180.40 | down | ms
2025-09-02 15:18:11 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:18:12 | web | tlalpan.cdmx.gob.mx | up | 543ms
2025-09-02 15:18:12 | web | correo2.cdmx.gob.mx | up | 134ms
2025-09-02 15:18:12 | web | http://10.16.1.3/VU/ | up | 13ms
2025-09-02 15:18:12 | service | 8.8.8.8 | up | 86ms
2025-09-02 15:18:12 | web | google.com | up | 140ms
2025-09-02 15:18:13 |  | 8.8.8.8 | up | 69ms
2025-09-02 15:19:13 | ip | 10.16.1.3 | up | 45ms
2025-09-02 15:19:13 | ip | 10.16.8.16 | up | 45ms
2025-09-02 15:19:13 | ip | 10.16.1.7 | up | 45ms
2025-09-02 15:19:18 | ip | 10.16.0.5 | down | ms
2025-09-02 15:19:18 | ip | 10.16.0.127 | up | 31ms
2025-09-02 15:19:23 | ip | 10.16.0.7 | down | ms
2025-09-02 15:19:28 | ip | 172.16.1.1 | down | ms
2025-09-02 15:19:33 | ip | 172.16.1.2 | down | ms
2025-09-02 15:19:33 | ip | 10.16.8.249 | up | 49ms
2025-09-02 15:19:33 | ip | 10.16.8.2 | up | 42ms
2025-09-02 15:19:35 | ip | 10.16.8.5 | up | 1388ms
2025-09-02 15:19:35 | ip | 10.16.8.40 | up | 33ms
2025-09-02 15:19:35 | ip | 10.16.8.4 | up | 36ms
2025-09-02 15:19:36 | ip | 10.16.8.10 | up | 1505ms
2025-09-02 15:19:36 | ip | 10.16.8.7 | up | 34ms
2025-09-02 15:19:38 | ip | 10.16.8.20 | up | 1393ms
2025-09-02 15:19:38 | ip | 10.16.8.25 | up | 45ms
2025-09-02 15:19:38 | ip | 10.16.8.9 | up | 31ms
2025-09-02 15:19:38 | ip | 10.16.8.61 | up | 50ms
2025-09-02 15:19:38 | ip | 10.16.8.6 | up | 44ms
2025-09-02 15:19:38 | ip | 10.16.8.11 | up | 46ms
2025-09-02 15:19:39 | ip | 10.16.8.254 | up | 1064ms
2025-09-02 15:19:39 | ip | 10.16.1.8 | up | 44ms
2025-09-02 15:19:44 | ip | 189.202.180.34 | down | ms
2025-09-02 15:19:49 | ip | 189.202.180.40 | down | ms
2025-09-02 15:19:49 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:19:50 | web | tlalpan.cdmx.gob.mx | up | 466ms
2025-09-02 15:19:50 | web | correo2.cdmx.gob.mx | up | 119ms
2025-09-02 15:19:50 | web | http://10.16.1.3/VU/ | up | 15ms
2025-09-02 15:19:50 | service | 8.8.8.8 | up | 79ms
2025-09-02 15:19:50 | web | google.com | up | 124ms
2025-09-02 15:19:51 |  | 8.8.8.8 | up | 75ms
